Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
0,2007-10-05,32.54542541503906,35.424693329871594,26.90012004829192,29.05148348598712,855215656
1,2007-10-08,30.879337310791016,33.64537507515086,30.68522855070953,33.64537507515086,126671715
2,2007-10-09,32.98217010498047,33.27333102819074,29.229417128249786,30.895508777439975,116725709
3,2007-10-10,33.28950500488281,33.968883374439955,32.99834410019465,33.83947682149577,67931378
4,2007-10-11,37.0098991394043,38.821573014807456,32.99833837896425,38.821573014807456,106320954
5,2007-10-12,36.76725769042969,38.142187841038535,35.90994917998811,36.23346215660196,99410791
6,2007-10-15,37.25254440307617,37.75399238175067,36.929031276677506,37.52753143810056,41814972
7,2007-10-16,41.05381774902344,41.70084829693079,37.0422564347305,37.30106514355186,138614496
8,2007-10-17,44.256595611572266,45.29183471455822,34.32474126016521,36.88049561165581,204876259
9,2007-10-18,42.70374298095703,48.34904899278738,40.875894629309066,44.96833494637907,146617799
10,2007-10-19,42.55816650390625,44.288962742645936,40.43915272805429,41.733205334524634,110266491
11,2007-10-22,41.99201583862305,43.30224226481981,40.600906741698125,41.70085489812684,72253405
12,2007-10-23,44.98450469970703,45.38889604536594,43.027247953961755,43.027247953961755,74594921
13,2007-10-24,44.28895568847656,46.42414302665404,43.78750775058117,45.93886898859224,63055170
14,2007-10-25,44.19189453125,45.227138099078076,39.031859366115256,42.78461181458354,34522489
15,2007-10-26,45.5182991027832,46.24620350425056,43.755151130724876,44.968325133170474,62370025
16,2007-10-29,46.440311431884766,47.55643325031077,46.03592010461835,46.26238100305824,43657697
17,2007-10-30,47.47555160522461,48.75342547566269,45.68005160722159,47.07116030674552,79921711
18,2007-10-31,48.46226501464844,49.52986068411947,47.556430253818284,47.7181867745327,44655368
19,2007-11-01,47.378509521484375,50.03131900435608,46.99029638921167,49.6592797737885,50632492
20,2007-11-02,48.235816955566406,48.52698228060946,45.291846618226735,45.66389022513117,32001693
21,2007-11-05,49.22251510620117,50.30628453092423,47.91228482690581,48.20345003647759,38833135
22,2007-11-06,49.869544982910156,53.0237969698903,49.19016675428304,50.079827571123595,81880281
